hl_id,bl_form10,matchid,bl_form5,bl_slutmal,hl_form5,bl_namn,hl_form10,omgang,hl_pos,hl_namn,hl_slutmal,sasong,bl_pos,bl_id
9373,-2,2129811,0,0,0,Norrköping,0,19,1,Helsingborg,0,2013-03-31T00:00+0100,8,9376
23026,-1,2129814,0,2,-4,IFK Göteborg,-7,19,16,Syrianska,0,2013-03-31T00:00+0100,4,9370
9400,-2,2129818,-1,1,0,Mjällby,0,19,11,Gefle,2,2013-03-31T00:00+0100,9,9389
19740,-3,2129813,-2,2,-4,Öster,-6,19,12,Häcken,0,2013-03-31T00:00+0100,13,9394
9375,3,2129816,3,0,2,AIK,1,19,2,Malmö FF,1,2013-03-31T00:00+0100,3,9367
9394,-7,2129821,-4,0,-1,Syrianska,-2,20,12,Öster,1,2013-03-31T00:00+0100,16,23026
9376,-2,2129819,1,1,0,Brommapojkarna,-2,20,7,Norrköping,2,2013-03-31T00:00+0100,15,19721
9370,-1,2129826,-1,1,-1,Elfsborg,-1,20,3,IFK Göteborg,3,2013-03-31T00:00+0100,5,9369
9368,-7,2129820,-5,1,-2,Häcken,0,20,10,Djurgården,1,2013-03-31T00:00+0100,13,19740
9371,1,2129824,1,2,-1,Gefle,-4,20,14,Halmstad,2,2013-03-31T00:00+0100,11,9400
9374,2,2129822,2,4,0,Malmö FF,-1,20,6,Kalmar FF,1,2013-03-31T00:00+0100,1,9375
9367,-1,2129823,-2,2,1,Åtvidaberg,2,20,4,AIK,3,2013-03-31T00:00+0100,9,9393
9389,0,2129825,0,3,-1,Helsingborg,-2,20,8,Mjällby,4,2013-03-31T00:00+0100,2,9373
9376,2,2129779,2,3,-2,Djurgården,-1,15,11,Norrköping,2,2013-03-31T00:00+0100,10,9368
9369,-2,2129829,0,4,-1,Öster,-2,21,6,Elfsborg,2,2013-03-31T00:00+0100,11,9394
9400,-2,2129833,-1,2,2,Helsingborg,1,21,13,Gefle,1,2013-03-31T00:00+0100,2,9373
9371,3,2129832,1,0,-1,AIK,-3,21,14,Halmstad,1,2013-03-31T00:00+0100,3,9367
9375,1,2129830,0,1,1,IFK Göteborg,2,21,1,Malmö FF,3,2013-03-31T00:00+0100,4,9370
19740,0,2129827,2,0,-4,Norrköping,-6,21,12,Häcken,1,2013-03-31T00:00+0100,8,9376
9393,-1,2129831,-1,0,-3,Kalmar FF,-1,21,7,Åtvidaberg,0,2013-03-31T00:00+0100,5,9374
19721,-2,2129834,0,0,1,Mjällby,-2,21,15,Brommapojkarna,2,2013-03-31T00:00+0100,9,9389
23026,-1,2129828,-2,3,-4,Djurgården,-8,21,16,Syrianska,1,2013-03-31T00:00+0100,10,9368
9373,0,2129841,1,2,-2,Brommapojkarna,-2,22,2,Helsingborg,4,2013-03-31T00:00+0100,15,19721
9367,0,2129839,1,0,0,Gefle,2,22,3,AIK,3,2013-03-31T00:00+0100,13,9400
9376,-8,2129835,-4,1,1,Syrianska,-1,22,7,Norrköping,6,2013-03-31T00:00+0100,16,23026
9394,4,2129837,1,1,1,Malmö FF,-2,22,11,Öster,1,2013-03-31T00:00+0100,1,9375
9370,-2,2129842,-2,0,0,Åtvidaberg,0,22,4,IFK Göteborg,3,2013-03-31T00:00+0100,9,9393
9368,-4,2129836,-2,2,-1,Elfsborg,-1,22,10,Djurgården,1,2013-03-31T00:00+0100,6,9369
9374,-1,2129838,0,0,-1,Halmstad,-1,22,5,Kalmar FF,1,2013-03-31T00:00+0100,14,9371
9389,-5,2129840,-2,1,-2,Häcken,-3,22,8,Mjällby,1,2013-03-31T00:00+0100,12,19740
9393,-1,2129845,1,0,-3,Öster,-3,23,8,Åtvidaberg,4,2013-03-31T00:00+0100,13,9394
9400,-1,2129848,0,0,-1,Brommapojkarna,-1,23,12,Gefle,1,2013-03-31T00:00+0100,15,19721
9369,1,2129843,2,1,-2,Norrköping,-4,23,5,Elfsborg,4,2013-03-31T00:00+0100,9,9376
9371,1,2129846,2,1,-1,IFK Göteborg,-2,23,14,Halmstad,0,2013-03-31T00:00+0100,3,9370
9367,0,2129847,0,0,1,Kalmar FF,3,23,4,AIK,0,2013-03-31T00:00+0100,6,9374
23026,-2,2129849,-2,2,-5,Mjällby,-8,23,16,Syrianska,1,2013-03-31T00:00+0100,7,9389
19740,0,2129850,-1,2,-1,Helsingborg,-4,23,11,Häcken,3,2013-03-31T00:00+0100,2,9373
9375,-3,2129844,-1,2,2,Djurgården,4,23,1,Malmö FF,0,2013-03-31T00:00+0100,10,9368
9394,-2,2129853,-1,1,0,Halmstad,-1,24,13,Öster,0,2013-03-31T00:00+0100,14,9371
9374,0,2129854,0,0,-1,Gefle,0,24,6,Kalmar FF,0,2013-03-31T00:00+0100,12,9400
9389,-2,2129855,0,2,-1,Elfsborg,-1,24,7,Mjällby,2,2013-03-31T00:00+0100,5,9369
19721,-3,2129857,1,0,-1,Häcken,-1,24,15,Brommapojkarna,1,2013-03-31T00:00+0100,11,19740
9376,2,2129851,1,2,0,Malmö FF,0,24,9,Norrköping,0,2013-03-31T00:00+0100,1,9375
9368,-3,2129852,-2,0,-2,Åtvidaberg,-3,24,10,Djurgården,2,2013-03-31T00:00+0100,8,9393
9373,-8,2129856,-5,2,-1,Syrianska,-1,24,3,Helsingborg,2,2013-03-31T00:00+0100,16,23026
9370,2,2129858,0,1,1,AIK,0,24,2,IFK Göteborg,3,2013-03-31T00:00+0100,4,9367
9394,0,2129861,0,2,-1,Kalmar FF,-2,25,14,Öster,1,2013-03-31T00:00+0100,5,9374
19721,-1,2129865,-1,0,-1,Elfsborg,1,25,12,Brommapojkarna,1,2013-03-31T00:00+0100,6,9369
19740,-7,2129866,-4,0,1,Syrianska,-3,25,11,Häcken,4,2013-03-31T00:00+0100,16,23026
9373,1,2129864,0,3,-1,Malmö FF,-1,25,3,Helsingborg,0,2013-03-31T00:00+0100,1,9375
9376,-2,2129859,-1,2,-1,Halmstad,0,25,8,Norrköping,3,2013-03-31T00:00+0100,15,9371
9370,1,2129862,-1,1,2,Gefle,1,25,2,IFK Göteborg,3,2013-03-31T00:00+0100,13,9400
9389,-4,2129863,-2,1,0,Åtvidaberg,-1,25,9,Mjällby,0,2013-03-31T00:00+0100,7,9393
9368,0,2129860,0,2,0,AIK,-2,25,10,Djurgården,2,2013-03-31T00:00+0100,4,9367
23026,1,2129873,1,2,-4,Brommapojkarna,-7,26,16,Syrianska,1,2013-03-31T00:00+0100,12,19721
9371,-1,2129868,0,4,-2,Djurgården,-3,26,15,Halmstad,1,2013-03-31T00:00+0100,8,9368
9374,3,2129874,2,1,1,IFK Göteborg,0,26,5,Kalmar FF,2,2013-03-31T00:00+0100,2,9370
9369,-3,2129872,-1,1,-1,Helsingborg,-2,26,6,Elfsborg,1,2013-03-31T00:00+0100,3,9373
9367,-2,2129869,-3,1,-1,Öster,0,26,4,AIK,2,2013-03-31T00:00+0100,14,9394
9400,-1,2129870,2,0,-2,Häcken,0,26,13,Gefle,0,2013-03-31T00:00+0100,11,19740
9375,-3,2129871,-2,0,0,Mjällby,0,26,1,Malmö FF,1,2013-03-31T00:00+0100,10,9389
9393,1,2129867,-1,3,-1,Norrköping,-3,26,9,Åtvidaberg,1,2013-03-31T00:00+0100,7,9376
9389,1,2129877,1,3,-2,AIK,-4,27,11,Mjällby,2,2013-03-31T00:00+0100,4,9367
19721,-4,2129879,-2,0,0,Åtvidaberg,1,27,12,Brommapojkarna,0,2013-03-31T00:00+0100,9,9393
9376,1,2129882,2,1,0,Kalmar FF,1,27,8,Norrköping,0,2013-03-31T00:00+0100,5,9374
9368,3,2129875,2,1,0,IFK Göteborg,0,27,7,Djurgården,2,2013-03-31T00:00+0100,2,9370
9394,-1,2129876,-1,4,-4,Gefle,-3,27,14,Öster,1,2013-03-31T00:00+0100,13,9400
23026,-2,2129881,0,3,-4,Elfsborg,-8,27,16,Syrianska,1,2013-03-31T00:00+0100,6,9369
9373,-4,2129878,-4,2,-1,Halmstad,-3,27,3,Helsingborg,4,2013-03-31T00:00+0100,15,9371
19740,2,2129880,0,0,1,Malmö FF,0,27,10,Häcken,2,2013-03-31T00:00+0100,1,9375
9400,-8,2129884,-4,0,0,Syrianska,-1,28,12,Gefle,2,2013-03-31T00:00+0100,16,23026
9393,-1,2129887,-1,0,-1,Helsingborg,-4,28,8,Åtvidaberg,3,2013-03-31T00:00+0100,4,9373
9370,-4,2129890,-5,0,0,Öster,1,28,3,IFK Göteborg,0,2013-03-31T00:00+0100,15,9394
9375,1,2129888,1,1,-1,Brommapojkarna,1,28,1,Malmö FF,2,2013-03-31T00:00+0100,13,19721
9369,2,2129889,2,0,0,Häcken,-1,28,6,Elfsborg,0,2013-03-31T00:00+0100,10,19740
9367,-1,2129883,-2,0,0,Norrköping,0,28,2,AIK,1,2013-03-31T00:00+0100,9,9376
9374,0,2129885,2,2,1,Djurgården,0,28,5,Kalmar FF,1,2013-03-31T00:00+0100,7,9368
9371,-4,2129886,-3,0,-4,Mjällby,-4,28,14,Halmstad,1,2013-03-31T00:00+0100,11,9389
19740,-3,2129896,-2,3,1,Halmstad,3,29,11,Häcken,1,2013-03-31T00:00+0100,14,9371
19721,2,2129895,1,6,1,AIK,-1,29,13,Brommapojkarna,0,2013-03-31T00:00+0100,2,9367
9368,-1,2129892,0,1,2,Gefle,1,29,7,Djurgården,1,2013-03-31T00:00+0100,12,9400
9389,1,2129893,0,1,-4,IFK Göteborg,-4,29,10,Mjällby,2,2013-03-31T00:00+0100,3,9370
9373,0,2129894,0,3,-1,Kalmar FF,-2,29,4,Helsingborg,2,2013-03-31T00:00+0100,5,9374
23026,-2,2129897,-1,1,-4,Åtvidaberg,-8,29,16,Syrianska,4,2013-03-31T00:00+0100,9,9393
9376,-4,2129891,-4,1,-2,Öster,-2,29,8,Norrköping,1,2013-03-31T00:00+0100,15,9394
9369,1,2129898,1,2,-1,Malmö FF,-2,29,6,Elfsborg,0,2013-03-31T00:00+0100,1,9375
9394,1,2129899,1,1,-3,Djurgården,-5,30,15,Öster,1,2013-03-31T00:00+0100,7,9368
9374,-4,2129900,-3,1,0,Mjällby,1,30,4,Kalmar FF,2,2013-03-31T00:00+0100,11,9389
9400,-2,2129901,-2,2,0,Elfsborg,-1,30,12,Gefle,0,2013-03-31T00:00+0100,6,9369
9367,-2,2129902,-2,1,2,Helsingborg,1,30,2,AIK,2,2013-03-31T00:00+0100,5,9373
9371,-1,2129903,-1,2,-2,Brommapojkarna,-3,30,14,Halmstad,2,2013-03-31T00:00+0100,13,19721
9393,2,2129904,1,2,-1,Häcken,-2,30,8,Åtvidaberg,2,2013-03-31T00:00+0100,10,19740
9375,-6,2129905,-3,1,1,Syrianska,1,30,1,Malmö FF,3,2013-03-31T00:00+0100,16,23026
9370,-3,2129906,-1,0,-2,Norrköping,-1,30,3,IFK Göteborg,2,2013-03-31T00:00+0100,9,9376
