gameId,round,homeTeam,homeTeamId,homeTeamScore,homePos,visitingTeam,visitingTeamId,visitingTeamScore,visitingPos,date,league,leagueId,leagueGender,round,spectators,arenaId,arenaName,referees
1588740,1,Halmstad,9371,0,10,Kalmar FF,9374,0,11,2011-04-02T16:00+0200,Allsvenskan,44165,MEN,1,6636,61401,Örjans Vall,
1588741,1,Norrköping,9376,2,2,Gais,9382,0,16,2011-04-03T14:00+0200,Allsvenskan,44165,MEN,1,10424,62136,Norrköpings Idrottspark,
1588742,1,Syrianska,23026,1,7,Gefle,9400,1,6,2011-04-03T16:30+0200,Allsvenskan,44165,MEN,1,4644,61456,Södertälje Fotbollsarena,
1588743,1,Trelleborgs FF,9377,2,15,Malmö FF,9375,4,1,2011-04-03T16:30+0200,Allsvenskan,44165,MEN,1,9572,61383,Swedbank Stadion,
1588744,1,Mjällby,9389,0,14,Helsingborg,9373,1,4,2011-04-03T16:30+0200,Allsvenskan,44165,MEN,1,5019,61382,Strandvallen,
1588745,1,Göteborg,9370,0,13,Örebro,9379,1,5,2011-04-04T19:00+0200,Allsvenskan,44165,MEN,1,14053,61381,Gamla Ullevi,
1588746,1,Elfsborg,9369,2,3,Häcken,19740,1,12,2011-04-04T19:00+0200,Allsvenskan,44165,MEN,1,12359,61378,Borås Arena,
1588747,1,Djurgården,9368,0,9,AIK,9367,0,8,2011-04-04T20:00+0200,Allsvenskan,44165,MEN,1,28931,62398,Råsunda,
1588748,2,Örebro,9379,1,3,Syrianska,23026,0,12,2011-04-08T19:00+0200,Allsvenskan,44165,MEN,2,10654,60649,Behrn Arena,
1588749,2,Gefle,9400,2,5,Norrköping,9376,0,10,2011-04-09T14:00+0200,Allsvenskan,44165,MEN,2,5139,60610,Strömvallen,
1588750,2,Gais,9382,4,7,Trelleborgs FF,9377,0,16,2011-04-09T16:00+0200,Allsvenskan,44165,MEN,2,6109,61381,Gamla Ullevi,
1588751,2,AIK,9367,3,4,Mjällby,9389,0,15,2011-04-10T14:00+0200,Allsvenskan,44165,MEN,2,11966,62398,Råsunda,
1588752,2,Häcken,19740,3,8,Göteborg,9370,1,14,2011-04-10T16:30+0200,Allsvenskan,44165,MEN,2,7468,61377,Rambergsvallen,
1588753,2,Helsingborg,9373,1,2,Elfsborg,9369,0,9,2011-04-10T16:30+0200,Allsvenskan,44165,MEN,2,12643,60662,"Olympia, Helsingborg",
1588754,2,Kalmar FF,9374,3,6,Djurgården,9368,2,11,2011-04-11T19:00+0200,Allsvenskan,44165,MEN,2,11852,63057,Guldfågeln Arena,
1588755,2,Malmö FF,9375,3,1,Halmstad,9371,1,13,2011-04-11T19:00+0200,Allsvenskan,44165,MEN,2,18843,61383,Swedbank Stadion,
1588756,3,Djurgården,9368,0,12,Malmö FF,9375,1,1,2011-04-15T19:00+0200,Allsvenskan,44165,MEN,3,9055,61379,Stadion,
1588757,3,Halmstad,9371,0,13,Gais,9382,2,5,2011-04-16T14:00+0200,Allsvenskan,44165,MEN,3,4259,61401,Örjans Vall,
1588758,3,Mjällby,9389,1,11,Kalmar FF,9374,0,10,2011-04-16T16:00+0200,Allsvenskan,44165,MEN,3,3047,61382,Strandvallen,
1588759,3,Syrianska,23026,1,14,Häcken,19740,5,4,2011-04-17T14:00+0200,Allsvenskan,44165,MEN,3,2376,61456,Södertälje Fotbollsarena,
1588760,3,Elfsborg,9369,2,9,AIK,9367,2,8,2011-04-17T16:30+0200,Allsvenskan,44165,MEN,3,10086,1874,Borås arena,
1588761,3,Trelleborgs FF,9377,1,16,Norrköping,9376,2,6,2011-04-17T16:30+0200,Allsvenskan,44165,MEN,3,3060,59985,Vångavallen,
1588762,3,Göteborg,9370,1,15,Helsingborg,9373,2,2,2011-04-18T19:00+0200,Allsvenskan,44165,MEN,3,11555,,,
1588763,3,Örebro,9379,2,7,Gefle,9400,3,3,2011-04-18T19:00+0200,Allsvenskan,44165,MEN,3,8437,,,
1588764,4,Gais,9382,2,3,Djurgården,9368,1,13,2011-04-19T19:00+0200,Allsvenskan,44165,MEN,4,5365,,,
1588765,4,Norrköping,9376,2,4,Halmstad,9371,0,15,2011-04-20T19:00+0200,Allsvenskan,44165,MEN,4,7497,60029,Nya Parken,
1588766,4,Kalmar FF,9374,2,8,Elfsborg,9369,1,10,2011-04-20T19:00+0200,Allsvenskan,44165,MEN,4,9307,63057,Guldfågeln Arena,
1588767,4,Malmö FF,9375,1,1,Mjällby,9389,0,11,2011-04-20T19:00+0200,Allsvenskan,44165,MEN,4,15144,61383,Swedbank Stadion,
1588768,4,Gefle,9400,1,7,Trelleborgs FF,9377,2,12,2011-04-21T19:00+0200,Allsvenskan,44165,MEN,4,3483,60610,Strömvallen,
1588769,4,Häcken,19740,1,9,Örebro,9379,2,5,2011-04-21T19:00+0200,Allsvenskan,44165,MEN,4,3217,61377,Rambergsvallen,
1588770,4,AIK,9367,2,6,Göteborg,9370,0,16,2011-04-21T19:00+0200,Allsvenskan,44165,MEN,4,17375,62398,Råsunda,
1588771,4,Helsingborg,9373,1,2,Syrianska,23026,0,14,2011-04-22T15:00+0200,Allsvenskan,44165,MEN,4,9708,60662,"Olympia, Helsingborg",
1588772,5,Djurgården,9368,1,16,Norrköping,9376,3,2,2011-04-24T14:00+0200,Allsvenskan,44165,MEN,5,8117,61379,Stadion,
1588773,5,Mjällby,9389,1,12,Gais,9382,1,4,2011-04-24T14:00+0200,Allsvenskan,44165,MEN,5,3588,61382,Strandvallen,
1588774,5,Elfsborg,9369,3,9,Malmö FF,9375,0,3,2011-04-24T16:30+0200,Allsvenskan,44165,MEN,5,10616,61378,Borås Arena,
